                    ctW                 ctp                 cpQM                ctei                ctli                cQei                ctZ                 cQlMi               cQl3i               ctG                 ctlTi               cbW                 cpQ3                cptb                cpt                 ctlSi               cQd1                cQd8                cQq11               cQq13               cQQ1                cQq81               cQq83               cQQ8                cQt1                cQt8                cQtQb1              cQtQb8              cQu1                cQu8                ctb1                ctd1                ctd8                ctq1                ctq8                ctt1                ctu1                ctu8                
rwgt9               2.95946210426       51.4419008756       33.1647146717       -2.34909904068      8.5883544629        -8.25406505528      -3.96581865369      -3.42297176385      2.20064753691       0.831443537098      1.23535221128       -2.56309846541      2.94763815802       7.93726907161       12.3487029186       0.756703010207      47.2510011972       31.6500970327       -43.9931599225      7.77173395995       -25.4569276966      -53.1166823062      -32.6307645         57.2030034647       -2.98564836268      -8.78766198579      14.3777599653       -20.7720133996      -51.6102111345      38.9652448047       -53.3248641033      -31.0058610231      48.1589854558       -10.3207932736      53.7214825913       28.248232165        -59.7171079477      18.8199736559       
rwgt10              -3.47212664523      -2.03324760261      25.4657090852       2.68137612552       8.88157374885       6.77300801934       -1.83061346004      -2.5397867104       -9.41331087336      0.669251330185      -2.1656306173       3.51139186          -2.11583582214      25.9209418238       18.9313077237       -1.97399842275      0.0425203915747     22.9819315462       -11.1290556362      9.97283273632       52.7366261255       25.6709284087       -21.0521743003      -23.1692513415      37.8963203984       21.89441539         -36.5245635531      35.9633316506       -54.6272030765      -37.7430874022      45.8107568917       33.6268866564       48.2531421851       11.9385112034       51.2628875092       51.3437532096       28.2471057176       54.1709179624       
rwgt11              -5.85817622861      38.1421709477       30.2883574607       -7.09230997671      5.57520098006       1.25046769047       3.19682039755       -0.271213802647     7.01099425409       -0.952245661089     -0.96076273394      1.09350473196       -10.9177298423      10.9311525147       -1.46067813786      -11.1475847967      -57.3064984985      7.17600632865       -26.064106463       2.80052506923       -58.555119032       13.4363943363       33.3881436425       -36.9917676775      -20.1653977609      -36.4390515361      7.94064752836       -43.5554698684      -53.5204797613      31.0097159051       55.9828517265       30.4527429134       59.8199585659       -20.9250344721      38.2824551261       -25.1791779321      55.3449468369       1.2957919388        
rwgt12              -4.47780180964      42.9369941344       4.90474586516       8.27504518759       2.95986953755       -7.97452734599      -2.870346403        -2.41468695406      2.52240212649       0.543776998425      0.0524568274445     -2.9469730983       -2.95364951715      -12.6297231803      1.4552072513        3.45807092041       6.55943497354       26.9716979843       30.1770950751       -3.69076965122      1.31474663673       60.5388667829       -39.2130934245      -19.8820307867      -41.2739916587      -61.4745588936      -2.00622800391      34.7142639467       -40.7767115026      35.4631703065       -43.6018630423      -39.3714376792      -33.9625875651      12.4192666562       33.4510219927       -37.5647483959      32.3479853609       32.8100281782       
rwgt13              -3.60198291678      -2.06930476175      29.7515337689       5.56934651759       1.79332763977       -5.33038679147      0.855595199749      -2.91596003173      4.17099941424       -2.34165175301      2.57098950693       5.00225952222       -5.71178949721      22.953923525        16.5135375745       -9.57766857871      33.0740149397       -15.646591448       36.6901252634       51.0556520179       -27.8739287528      -58.2809772295      -35.7117444904      -34.3095557611      -40.5280494453      28.2765294053       46.6413177523       -52.6399111229      -16.0262156626      21.5398647446       2.91827181666       -36.618507164       -13.9152606499      14.2135540904       -22.0540090219      25.76263286         40.3585722201       30.5790013392       
rwgt14              0.745834484898      26.5578197586       32.6807275244       -7.52063820049      9.95215876169       -7.35458450392      2.60724535826       -6.83292860142      9.86313892338       -0.192514913265     -1.34838705832      7.30670903707       -8.53270627609      -5.57652361465      16.3387982212       -1.55509177191      -20.8548624023      -10.4021415958      16.3090937347       -5.53880071281      -47.6275206872      51.9995260945       -16.4514948735      59.1850480734       -56.7471841022      -13.8098690756      55.6467543041       -29.1768596706      59.1360429884       36.5845856114       45.0536443013       -49.0175339303      53.5497515039       52.309998903        -14.8815993695      -50.8652311928      0.22526118132       -13.9968830902      
rwgt15              -2.27315966258      32.4331472949       40.0789459044       8.02048320718       0.613724158592      2.80706376549       -4.04256383246      -7.67883393554      1.17969159661       -0.887860456094     2.65465668805       -4.81644338049      -7.57115202512      10.2840303139       12.1058749265       6.41720586389       -23.0635609373      24.8690783157       43.4163973379       49.3534783443       -46.6666151841      26.293386523        -20.4585489053      34.0400866454       53.7944000459       12.655720138        -44.4823974647      -42.3709798622      54.2787687804       -3.38102382311      -52.4928309875      58.5140108092       -17.2906227673      -46.8765974826      7.4733396146        -34.5352338576      -52.6485368156      -42.7098483451      
rwgt16              2.08795462013       32.4636309437       -6.84067414975      8.189654438         -6.47205710784      5.1062181459        3.65599077678       9.63105074629       -7.84050976081      0.0220082451486     2.79763053312       -2.85810713082      2.53865086675       1.85815526207       6.07876320397       -3.50263769814      -6.2026862148       21.3123279103       19.8405708428       21.3690646377       60.5632599474       42.3440579422       0.161588165878      23.2390294897       13.5469858374       52.6943434212       -25.9013416872      21.1714758667       29.2161466352       47.5520871512       -27.7061411705      -35.1256766731      1.54498715237       50.1317078349       17.4665978561       13.8965227613       55.5975514857       -23.0282524817      
rwgt17              1.4851911838        47.8323911243       -9.84900765871      -6.86775453275      6.65570745664       -1.14035475442      -1.17533705315      -6.71228671017      7.04253460045       0.833926391805      2.3039181076        -6.05241460125      5.4665299868        -17.9120654777      -15.279070036       -8.0240129712       55.5757184031       -46.0400668828      -56.0180081909      -20.4723615263      -18.4901391753      -27.6419499322      32.4241465109       34.2909978238       50.822749973        -15.4777678846      36.3778009146       14.9032579646       -7.93045004023      14.7686263019       -12.9673109874      21.7294338725       -12.3180161494      -17.2863237694      48.5974229194       -57.2346491178      37.1684872711       42.3140186185       
rwgt18              1.5302733777        6.30055072541       7.33480682593       -5.40513497777      7.68481261027       -1.79668872763      -0.964417829534     1.84618654753       -7.67669428718      1.11231642069       -1.08976758636      -4.54135433847      -8.84086944278      -0.991508305332     2.3920990579        -6.57529288502      32.572592998        -60.3180949713      13.7034357719       -56.1745189242      0.455257899462      -14.5551511791      -7.76500420851      54.9990805103       0.738460069585      -20.1062215502      -40.1212644699      4.79811472702       1.37902900848       14.8205801272       49.9210570268       -30.4721758891      -11.6151533361      -16.5601310258      26.3392502458       53.9624025641       49.5348667338       45.7218493197       
rwgt19              4.06825743536       60.8641205643       26.017130574        5.03881494049       -4.94084132162      5.80227819598       -2.07989269461      4.45292132041       -4.23412699716      1.1660257591        -0.853141577449     -3.50463251933      3.35669339587       16.3538159688       -19.4740378966      -1.39122900271      -14.6125011163      -12.1921684831      -26.0764333508      36.1717216226       5.10676552478       -23.0727799979      -7.28925503806      14.1819177183       53.4661153145       -30.7529622388      -35.5464298103      36.3820960039       -37.7730304745      13.400613403        50.1586793712       -18.0192669065      60.0529906474       51.0172198381       46.7186277631       54.2543549217       51.731039261        -44.2183342656      
rwgt20              -0.565377720608     -8.58710881709      21.714302195        3.56038974722       1.7753913529        8.94967001769       -5.69879884126      -7.85394804927      -11.930571524       -1.06858524102      -0.386572642318     -4.38764321059      -3.19926301971      1.01878578473       0.153617152938      11.308706087        -6.92172231894      49.1851484865       39.9768260393       -1.69395454021      44.9401431151       25.1367544777       28.6622910493       55.8760633758       -58.8701910845      -9.99539881825      18.8411334684       -17.9044560379      59.267992677        6.92402514095       -20.8216131476      -56.8992995997      -18.9565559266      54.1362503555       -39.4430910293      -35.8250867613      -51.1581975959      -33.9116690586      
rwgt21              -0.337334962024     39.0385076502       7.55885919912       1.63847475667       10.3944524517       -7.96164560699      5.98471301934       -1.61367862516      3.18229739126       0.0542030633972     2.52945424998       6.32055448165       0.236274957586      -3.19931528879      5.51485269345       -4.13806563944      -43.0611960318      -47.4357208849      25.2809138041       39.147448858        38.1654892179       8.84590261483       30.4511474457       15.4381446793       -9.24379729363      -40.8665702785      -7.97932180356      -0.220308440346     6.24297905007       -27.5198512966      18.7964061779       -26.6862951292      -39.2487694387      -40.3583503083      38.6050801648       -2.15588566452      -17.6454731485      -30.33852273        
rwgt22              -4.09312417033      45.9512211141       -11.872030912       6.20929359432       -8.15907656008      -3.43810104051      1.11580654356       9.20428281468       0.0127699459318     0.956900763491      2.71159610304       -1.67371106946      -1.64649404439      -25.5214931439      -10.5487329246      -1.17366826112      -15.1643828138      -40.3075454642      2.21133197131       -47.6321221519      -49.918463377       7.8628350179        -36.3362023923      50.898045552        -10.3264402437      34.898674098        -48.207646212       -17.8400071923      -42.062583722       31.6031964359       -41.8491385252      -38.9691855186      -22.5735992473      -60.8544686835      -21.3567473658      -4.13047860742      3.12129150952       25.1834242268       
rwgt23              0.474534175991      2.36962041707       40.2652101714       -2.99683083508      -1.7329276545       -1.03452847855      -2.02943021013      8.81347847893       9.77772096601       2.96842512186       0.481030191071      -0.284791460566     -11.3704547789      4.82182184833       -25.0323540178      -4.14526035205      -4.44707436809      43.6374189221       -60.1253416609      46.3318257137       18.7961480873       25.871799057        34.4237133296       55.699076859        4.60083981993       -31.4898578862      3.82345962085       34.6743997889       52.0406780387       -40.7850366388      -47.7287957263      32.7546076964       59.9295065711       -0.332433353825     -44.7421186714      -42.5077664053      -36.4061597816      -27.6203575697      
rwgt24              -2.12490216057      52.3513505146       -0.394032750212     8.47044156016       0.91741992185       0.555510906949      5.53782682469       -4.03718656473      -2.65271827033      1.80342609415       1.74276086738       -1.76039118704      -2.14865344226      6.91784523623       -30.2482380828      -4.16622739984      -36.2373383896      -14.9187255682      34.0283136209       -20.4561460963      43.8730704049       53.070107526        -59.9266641431      1.13541388604       -52.4055387325      -17.311342284       45.2027881012       27.5974423032       -7.52648790911      -17.6522007683      -58.2042258451      23.7162785692       -28.3099105206      28.8663470687       50.7881412954       -57.4557013313      -19.2166563333      54.248785301        
rwgt25              3.89966317879       -12.8074102855      30.4756144852       -1.40733440014      1.49627958125       1.3123250745        4.43155997802       8.69498827961       -3.65034230094      -2.70655271592      0.598496889815      1.06294198753       0.679971636138      4.73069468447       -0.287347157406     5.27755844834       -40.049261832       -51.8422726247      57.619149264        48.8390269727       51.1555069079       -15.8140004996      0.209718427767      32.741022409        -56.2473818072      -7.7348625127       -13.7252256513      22.9601281932       40.0509374874       -14.6205872327      35.4532578341       -0.24601082851      19.0401659809       -54.0924598143      28.8690849055       27.9630322006       34.8966862823       57.9449655577       
rwgt26              -2.93563560744      57.2116583155       8.51416501588       8.05736401115       6.19442328193       -1.98888381854      -4.56078664964      1.49224313611       -10.5336266532      2.0889887343        -0.864646944458     -7.2430228272       -1.68815776876      18.9490729366       -16.3283983855      7.18188964828       25.5548717632       36.84536227         19.3451994758       -48.7677641395      -17.5519837994      -45.6825534054      19.5046651357       -61.2783416466      34.0323437311       31.680144099        -12.3774680116      12.5808734424       -54.2096583025      -54.4191113317      53.7525307054       -58.2434785794      -32.1083526562      -59.4298215881      -57.0748380773      36.5477119911       -5.57949320215      -25.4001538414      
rwgt27              0.481225192946      -7.51170958333      27.8417450308       8.24000049929       6.5668258316        -8.4598066804       -0.0931977224536    -3.55065917137      9.20820040068       0.472570374531      -0.319098503891     6.56996802555       1.57468209979       -11.0091650329      -27.022000766       -5.55729856678      -22.2602670514      49.3530765797       15.7006662382       2.03972404977       20.6644694675       -43.2718736286      11.3266280206       59.540328393        -39.2949074387      -34.4123092026      -24.8704676658      17.7188214055       -29.8822358678      11.2835213826       -25.1978202763      51.7093546105       50.0609764412       21.1935747087       4.02892598941       54.7463912269       -8.40768938607      58.0831583866       
rwgt28              -4.97084385515      -2.33676417601      15.8878582737       -5.43903092732      -5.21544092073      4.22807842929       4.20133021798       -1.89250727096      3.14346741829       -1.27287528223      -1.91609676477      2.40534906591       -7.0985079368       -21.0070011368      17.7328491438       -3.16620894039      30.3331453892       4.34901014298       -15.0092975365      12.8173539468       -28.8624276333      -57.3938671983      12.5747227702       -42.9444579053      14.0943436712       1.95835163715       -57.7251364826      -30.3242840022      -30.0693200644      -45.6636075446      39.9140321277       14.7041246298       -1.57042098115      -6.00816657665      -25.3369885336      -48.0944468011      22.4660895934       43.1551590007       
rwgt29              2.62362157086       10.7355315817       6.00114280625       2.23965259775       7.98528739283       3.11476790938       -2.74950497488      1.06607905623       5.52268991567       0.835309246324      -0.139351242124     3.23713745635       -8.90586517415      -24.5081493479      7.86858005463       -4.12752047274      -1.28668377007      -52.3566422206      37.7536397901       -19.0567758581      28.6145068971       55.3745220663       -19.7268546673      -37.8912310158      4.33304594895       28.8992654172       -37.4369735567      -38.0257784788      -7.57396936825      -27.770115842       -50.1646353211      -33.0834004404      -56.4170702207      19.283248079        -4.47777924119      -6.43831325764      15.8362937249       -25.6765307143      
rwgt30              5.49736773559       53.1874657465       3.53141859215       -7.89095302675      9.86352499088       5.0024831467        4.06389254738       -4.20850790799      5.99028962533       1.25663180495       -0.275812000811     6.61771707193       -0.3263141223       15.5192167205       -30.2232203349      -0.367131191815     -4.33854632656      -11.5881990695      10.08634605         15.8261769613       56.5869667381       -35.8084127615      30.1220294137       -8.05847392886      45.215344831        -56.785384233       -24.8338748408      -43.3919511777      46.46973125         21.6027084383       30.5429312227       53.844431255        -11.1040833031      39.6846338818       14.1996456906       -6.93763523811      -5.73487843723      3.83837537014       
rwgt31              -3.78525821221      41.9779947413       2.79839813064       -5.92552322316      -4.03016471353      5.12779361532       1.67607056678       5.54093620807       -5.88141096738      -2.01396305286      2.73346874915       4.56227982382       -8.81533542445      13.0508961769       -24.8150701164      9.32223886402       -18.4007378403      10.0964205148       11.4652122709       -48.8862902122      -31.567188424       -52.0390871337      -26.5339717026      51.0603023828       57.3519638323       28.6993714357       22.099560428        -13.7882398897      -52.9205729088      26.801646541        46.8570219718       41.0666545908       -41.2430416679      36.8264413352       -28.2730803741      23.4213960306       5.57015961269       5.85882230705       
rwgt32              -5.85097849241      -14.3475302466      -7.84884265875      -4.47266206828      6.28044461507       -1.83797098078      -3.42268958212      4.05438898784       -7.37776880766      1.60436155785       0.0959021071108     5.28797352691       -9.05305768459      3.57636900779       19.2575945096       8.23297466262       -51.7568266068      -12.3762623453      -22.5132636413      -47.4599333421      42.0445509158       -38.1410973768      -36.9303011803      26.8917252265       -18.9383502975      49.7592325922       -40.1073742329      49.4525060811       -33.4706036361      -35.378645467       45.8284724197       22.4316347849       37.3497783851       40.6055724023       -56.9810634105      -24.0638747008      -14.4099212923      -10.0241787762      
rwgt33              -5.08818476764      15.4276799876       12.8259323025       -5.91988727026      -5.82877053539      3.06742923021       -5.05432885939      5.65350029419       -9.89010257322      -1.56249773782      1.59390503296       3.05676222724       -12.9938071537      -17.5858020922      10.8881374639       4.03815265252       27.8569783653       8.04089230707       40.5356714249       52.3940633184       -42.6366056743      23.8500383416       20.2187965239       -25.7539377254      60.6251887391       13.396529826        -45.8537701512      18.474049655        -14.8560653416      -21.0788858658      40.9383887146       -59.3769649134      -15.3991091677      32.1308434474       -43.943259762       -3.19028754225      31.2919179349       52.8064952811       
rwgt34              3.34250911727       -16.0449959286      37.9114543324       6.69277059893       1.53692376125       7.21292389662       -4.82216449389      0.597647758352      -4.5839032503       1.01005401635       0.320140135067      0.955872676527      4.65585838384       -16.4866591142      -8.1940703111       4.74744043729       -20.7564154248      6.93853905183       -45.3477324424      -38.3825091124      -36.2448224257      29.8078200089       26.3439069523       25.8875892903       8.09552904836       -47.0534939876      -22.1299294184      31.3411526046       55.7501303635       -12.159235114       -20.0037074374      -44.2172902581      -52.6621970146      -29.9941504983      5.04721420675       -25.2365980893      46.1056778616       -47.3354144623      
rwgt35              3.41228815205       29.4012518404       1.89401434972       -6.07898159706      -1.55864104184      0.25758595046       3.14307915638       -6.06073549498      -10.6002482849      2.26902426773       -1.17719945163      -6.86500566685      1.68603219779       -18.3301239806      7.74627380497       3.06210273369       48.9922104363       -51.7213590569      36.0361489872       45.6028692241       18.6592341441       -10.4686455397      -9.05740107019      25.1276836843       -47.9915698858      -50.4154611975      16.9493736934       21.2659773653       60.214245016        -4.11356426166      42.4138194493       14.077094424        -9.1670878325       -45.8674933569      35.5673321973       -58.2456736951      16.3057183147       9.15670489681       
rwgt36              5.27990240509       33.2477341477       10.4906421775       -1.56693851613      4.95692710582       1.69610337231       -0.285384689128     5.24387748105       2.75564735796       2.33179256865       0.151139902152      -3.24749185231      -9.36821377937      -1.07624682066      -1.10427941376      -1.725606152        40.4411467672       -15.3949240002      -11.8054988392      17.8991202918       13.5883707618       46.5916922067       -21.08009425        55.3885159375       34.9478222298       7.12619886224       6.57193253007       34.4339868996       -44.023735668       22.8091993523       10.7330092161       -37.1743448355      23.6754410652       46.5977794559       40.412423757        -0.241978635441     -7.95500699061      -28.0699340154      
rwgt37              -3.75223519684      41.2010031502       -3.64213326064      -2.57893442293      -0.998191307445     2.84344542051       2.37404440475       -1.7502075802       4.7097213896        -1.10446362453      1.20478338144       -5.88187352475      -6.19477363317      9.359572647         -28.2126348029      4.2038785109        -35.518104688       -16.5255911823      52.6289817512       53.150660708        27.3691597234       -27.6839039492      -2.0583622905       -40.422751358       -21.5728526382      34.1180587461       15.7247618518       -47.2149833827      -23.2892114442      -15.2904493088      -3.78473779441      -43.908449433       50.8790176814       19.7001468467       -6.28831273173      -4.96817033158      -29.2359185428      -21.2392079973      
rwgt38              -0.968433162778     54.1562387215       27.3506055299       -5.91300269383      -7.93878913115      1.6199712604        -4.77798353823      2.02439072425       6.98898727937       -2.22144147839      1.47300660898       5.58305028608       -13.6110984902      12.1236988034       -32.1637913659      0.439431584563      -29.929173275       -43.9535515822      37.4664490758       49.2142107899       33.0835036683       8.56444019168       35.4869548593       -15.4502392031      -51.5631065367      8.62768402974       -27.0061988112      32.3683924962       34.1070156813       -24.4697102114      -38.0865490199      31.1919262133       57.9776819584       10.7907998791       18.1608730233       2.48577471647       7.24273543011       -14.6999116757      
rwgt39              3.93485056788       -9.54819943382      19.2550432593       8.20013733737       0.540944447588      2.45312164745       0.784772788836      2.40475158501       -9.48608899908      2.27646252772       0.603679920106      4.19802242962       -8.52376976244      -3.59211737856      -3.4775223432       -6.42747931684      38.2680628581       -10.4376547041      5.80046988194       23.6293346403       -52.8802226624      22.664744426        38.1977451344       33.114484152        -12.2856791465      57.7887341901       -4.4227422813       -29.6161666565      44.8380947688       -19.0860002157      36.4772564546       44.9706859168       -21.4752409883      43.7076528048       -35.1496422547      12.3590898895       23.8053177821       -3.03950540415      
rwgt40              0.650875630835      11.1394165719       25.9950374093       -6.41062760121      -7.62956250205      3.21322749006       -2.60766886682      2.44493909854       2.56313625076       1.8231505636        -2.68321443566      2.93160958214       -5.17459418706      -16.5841225974      -8.789180716        -4.72320715698      59.305548866        -22.6602434091      8.12587812          40.1605416221       55.126540037        -43.4151260051      45.0900018516       -11.5576613987      16.9333906578       -34.3939571434      -51.569227912       14.3472374024       -1.26384416901      44.3968752227       22.4187405067       14.9493818394       59.0334035325       50.8316386553       -6.78768315243      -60.3648223542      49.8018596046       -59.6244205685      
rwgt41              3.599943156         55.6381502675       31.6501243328       5.01330895216       7.86397261387       -2.67612688798      -2.10445195859      4.75156440405       9.24155390432       -1.2179635017       2.58233313346       -6.86143503133      -5.84045989101      -21.1686905859      -0.610885033745     -9.6576073424       -20.3130778767      48.7184904095       38.1856700679       15.9750683928       47.2831451242       -38.0081435712      34.6885277209       44.8745585433       42.8443240952       20.1690460264       6.03862018474       -9.0938599176       -43.8185413541      -8.03302181616      -55.6163382229      -60.4704452168      -17.9952248197      45.4307415452       48.2221817417       -0.0529844351323    -26.999653612       -37.5625404818      
rwgt42              0.133191178519      -7.19651174253      16.1821481935       9.56039562307       3.38381063623       2.40193805802       -2.30071003969      2.82749078893       2.76802184201       -2.86205121813      0.233304958935      2.33819556386       5.35796492552       13.1196459266       18.5111628265       6.96200283729       49.913711053        36.7735040911       -27.5027949283      -32.8030316424      45.9842692555       -17.5766415697      -42.8818161338      -16.3867385672      16.7315620578       48.5897481323       -38.7052006402      36.9145503292       -34.8404924157      -14.2820340962      -55.2603099177      49.1135261746       -30.7036982125      -43.4421954139      24.7363185763       11.6555095818       -17.4158064372      -52.7929467906      
rwgt43              -4.06936292767      -9.05948683248      4.6262437353        -8.73978086592      -8.97444918911      -6.60429484506      1.46160206483       -1.95341295937      1.08133915213       0.780276353057      0.0612127921754     0.202662573704      -5.62536178432      15.1923330612       -3.52577641062      4.12970362591       32.9014741144       -58.9401134589      -45.4526030435      3.21055661627       -11.4487195061      28.3191598041       -7.23708945221      -60.8460722637      54.5104611117       28.7293205921       -44.9057121901      41.5910901479       -8.59532186358      -40.126715241       -51.261422113       -2.378311262        -38.848337028       -12.0552206571      -30.98567658        -6.82493641101      10.5049896166       0.391668414719      
rwgt44              2.31029092425       1.39090469701       -10.9555164147      -2.87487253577      -4.01563915735      0.182839130538      0.25503205015       3.63763694329       1.35254028651       1.20019538709       -2.34919929232      -3.29559226206      4.3728720272        22.1869280593       -3.29081480452      11.0096814836       -36.9416969942      -27.5250145371      4.68629565619       17.7707692939       18.3409456066       49.0361905274       -46.5602249177      13.7992133907       -31.2870614868      32.7837801281       57.8603610858       -6.27801249287      14.1472448119       -52.460811588       43.9340094706       -8.38563152094      12.2812027628       -54.6933495903      -53.1778065708      4.69939957515       -4.80393948361      48.8921721672       
rwgt45              0.429174188673      17.2442845758       -2.67377890525      8.45666806797       10.3144742488       -4.32860609504      1.3801950432        -2.7021750767       5.59272813842       -2.62040471847      1.00893399164       -3.52255818645      3.99955080158       1.99176904511       -22.1324846984      -3.30714006234      29.3148535892       -24.6046552119      -54.1119248177      60.6195217275       -15.4907670624      -51.9537830944      16.4357920441       59.3828216835       9.36304202996       12.1265903892       16.657211919        49.7534513551       57.5829274841       58.7587204095       -53.5783663568      -47.1393747172      -3.09956674097      58.8600868137       38.5292312481       37.1035126446       -51.7176166378      -12.4150017294      
